,open,high,low,close,volume,symbol,sma_5,sma_20,sma_50,daily_return,volatility,momentum_5,momentum_20,volume_change,hl_spread
2025-11-05,513.3,514.83,506.575,507.16,22883851.0,MSFT,516.418,519.7995,514.3252,-0.013940466237629567,0.011573180949001912,-0.06350290831871463,-0.03370486805754025,0.09185643187258652,0.01627691458316912
2025-11-06,505.66,505.7,495.81,497.1,27406496.0,MSFT,510.686,518.5345,514.1324000000001,-0.019835949207350767,0.012258155246578795,-0.054511564211807584,-0.04843032159264926,0.19763478620796815,0.019895393281029947
2025-11-07,496.945,499.377,493.25,496.82,24019764.0,MSFT,506.488,517.8275,513.8760000000001,-0.0005632669483002228,0.01136869532504667,-0.04053610397636187,-0.02767339909190536,-0.12357406068984522,0.012332434282033754
2025-11-10,500.035,506.85,498.8,506.0,26101480.0,MSFT,504.28200000000004,517.425,513.8622,0.018477517008171906,0.012109462027951986,-0.021333384909966502,-0.015659955257270597,0.08666679655969967,0.015909090909090932
2025-11-11,504.8,509.6,502.3488,508.68,17980020.0,MSFT,503.15200000000004,517.1804999999999,513.9334,0.005296442687747094,0.012183552333552485,-0.010985165166332966,-0.009521584204684963,-0.31114940608731767,0.014254934339860107
2025-11-12,509.355,511.67,499.1201,511.14,26574851.0,MSFT,503.948,517.066,514.0491999999999,0.004836046237320035,0.012239949145075753,0.007847622052212344,-0.004460199053424985,0.47802121465938296,0.02455276440896826
2025-11-13,510.31,513.5,501.29,503.29,25273114.0,MSFT,505.18600000000004,516.65,513.9556,-0.015357827601048535,0.01268907543247986,0.012452222892778142,-0.016262387365375996,-0.0489837929853304,0.024260366786544495
2025-11-14,498.23,511.6,497.44,510.18,28505746.0,MSFT,507.858,516.48,514.2592,0.013689920324266192,0.013061797017328293,0.02689102693128298,-0.006620195490478653,0.12790794201300248,0.02775491003175355
2025-11-17,508.45,512.12,504.91,507.49,19092752.0,MSFT,508.15599999999995,516.015,514.445,-0.005272648869026564,0.013014000541728726,0.0029446640316206363,-0.017995704251243194,-0.3302139154681305,0.014207176496088552
2025-11-18,495.365,502.98,486.78,493.79,33815114.0,MSFT,505.17800000000005,514.8215,514.3526,-0.02699560582474525,0.014244666661856465,-0.02927184084296608,-0.04611134721631949,0.7710969063024544,0.032807468762024436
2025-11-19,490.1,495.1872,482.83,487.12,23245314.0,MSFT,500.37399999999997,513.1505,514.0876000000001,-0.013507766459426085,0.014331398148324456,-0.04699299604804941,-0.06420255888116178,-0.3125762048295919,0.02536787649860411
2025-11-20,492.71,493.57,475.5,478.43,26802542.0,MSFT,495.40200000000004,511.04400000000004,513.636,-0.017839546723599886,0.014671357997959078,-0.04939498102485651,-0.08093207315199002,0.15302989669229672,0.037769370649833815
2025-11-21,478.5,478.92,468.27,472.12,31769248.0,MSFT,487.78999999999996,508.4695,512.8804,-0.013188972263445065,0.014608392943435194,-0.0746011211729194,-0.09833654819426674,0.18530727421302062,0.022557824281962284
